,group,n,FigS5_panel,GO,names,withMotif_in_GO,withMotif_not_in_GO,noMotif_in_GO,noMotif_not_in_GO,GO_term_size,percent_of_GO_with_motif,FT_pValue,FT_OR,permutation_mean,permutation_sd,zScore,combinedScore,motif_content
18,canonical+phosp+acetyl,4211,D,GO:0044085,cellular component biogenesis,793,3418,1860,14094,2653,29.89068979,3.89E-32,1.757892054,553.075,22.43553443,10.69397303,773.4279682,"canonical, phosph.-gen., acetyl.-gen."
19,canonical+phosp+acetyl,4211,D,GO:0051276,chromatin organization,400,3811,735,15219,1135,35.24229075,9.05E-31,2.173218214,235.15,14.9829818,11.00248283,761.1275373,"canonical, phosph.-gen., acetyl.-gen."
20,canonical+phosp+acetyl,4211,D,GO:0007049,cell cycle,346,3865,693,15261,1039,33.3012512,1.03E-21,1.971403849,218.6,10.38687535,12.26547886,592.7438946,"canonical, phosph.-gen., acetyl.-gen."
21,phosphorylation,2441,D,GO:0055085,transmembrane transport,221,2220,1185,16539,1406,15.71834993,3.16E-05,1.389381588,169.15,13.10617392,3.956150766,40.99877962,only phosph.-gen.
22,phosphorylation,2441,D,GO:0006351,"transcription, DNA-templated",497,1944,3239,14485,3736,13.30299786,0.013413569,1.143281066,452.3,19.24497937,2.322683706,10.01422401,only phosph.-gen.
23,phosphorylation,2441,D,GO:0006839,mitochondrial transport,51,2390,253,17471,304,16.77631579,0.016341608,1.473527243,37.25,6.837865914,2.010861309,8.272765459,only phosph.-gen.
24,phosphorylation,2441,D,GO:0010498,proteasomal protein catabolic process,62,2379,347,17377,409,15.15892421,0.065516472,1.305075357,49.4,7.084833929,1.778446768,4.847074307,only phosph.-gen.
25,phosphorylation,2441,D,GO:0007267,cell-cell signaling,209,2232,1343,16381,1552,13.46649485,0.088936017,1.142089202,188.45,11.08463941,1.853916871,4.486178634,only phosph.-gen.
26,phosp+acetyl,1655,D,GO:0007267,cell-cell signaling,170,1485,1382,17128,1552,10.95360825,7.67E-05,1.418767102,128.375,12.06114231,3.451165646,32.70239797,"phosph.-gen., acetyl.-gen."
27,phosp+acetyl,1655,D,GO:0006629,lipid metabolic process,107,1548,822,17688,929,11.51776103,0.000367562,1.487330239,77.05,7.672628674,3.903486181,30.87117803,"phosph.-gen., acetyl.-gen."
28,phosp+acetyl,1655,D,GO:0006464,cellular protein modification process,386,1269,3590,14920,3976,9.708249497,0.000159648,1.264138415,326.35,17.0136446,3.506009524,30.65142431,"phosph.-gen., acetyl.-gen."
29,phosp+acetyl,1655,D,GO:0006351,"transcription, DNA-templated",361,1294,3375,15135,3736,9.662740899,0.000408365,1.251054937,303.825,16.78504753,3.406305517,26.58059016,"phosph.-gen., acetyl.-gen."
30,phosp+acetyl,1655,D,GO:0006839,mitochondrial transport,41,1614,263,18247,304,13.48684211,0.001494189,1.762381499,25.125,4.001201743,3.967558004,25.81361376,"phosph.-gen., acetyl.-gen."
31,acetylation,1849,A,GO:0016071,mRNA metabolic process,98,1751,595,17721,693,14.14141414,1.61E-05,1.666849115,66.175,6.192996458,5.138869401,56.72262476,only acetyl.-gen.
32,acetylation,1849,A,GO:0006412,translation,96,1753,575,17741,671,14.30700447,1.17E-05,1.689602317,63.85,8.681102376,3.703446706,42.04368634,only acetyl.-gen.
33,acetylation,1849,A,GO:0009056,catabolic process,136,1713,930,17386,1066,12.75797373,6.56E-05,1.484179845,96.575,11.48887422,3.431580785,33.05449085,only acetyl.-gen.
34,acetylation,1849,A,GO:0044281,small molecule metabolic process,215,1634,1642,16674,1857,11.57781368,0.000238094,1.336120045,170.425,12.51232725,3.562486745,29.72127382,only acetyl.-gen.
35,acetylation,1849,A,GO:0006139,nucleobase containing compound metabolic process,106,1743,784,17532,890,11.91011236,0.005149962,1.359925536,79.55,8.142796093,3.248269968,17.11437431,only acetyl.-gen.
